District,Score
Cuttack,5.703908308337213
Khordha,5.659991134142598
Anugul,3.524216095228146
Baleshwar,3.153146435257655
Jagatsinghapur,2.738795627948411
Sundargarh,2.4286277975776858
Puri,2.4228521795438267
Jajapur,1.905633784724118
Jharsuguda,1.7596594873680484
Sambalpur,1.4455864828601759
Ganjam,1.1519377209169206
Kendrapara,0.9846865043896738
Dhenkanal,0.7579358065832618
Mayurbhanj,0.306324281390953
Bargarh,0.2993900512409367
Nayagarh,0.11911276542599872
Bhadrak,-0.19793905586977048
Kendujhar,-0.9824713765039812
Subarnapur,-1.3433450202285429
Balangir,-1.3756430300937987
Baudh,-1.4301932837273676
Debagarh,-1.6696030609900165
Kalahandi,-2.055661217415047
Kandhamal,-2.60677597254094
Koraput,-2.785513206591445
Nuapada,-2.865234972812257
Gajapati,-3.4798419070540034
Rayagada,-3.5381388068507094
Nabarangapur,-4.7173165230157235
Malkangiri,-5.314127029242048
